Date,CAN,CHI,FRA,GER,IND,ITA,JPN,RUS,UK,US
1/3/2011,3.126,4.005,3.766,3.16,8.359,5.044,1.595,7.685,3.9085,3.334
1/4/2011,3.135,4,3.764,3.147,8.392,4.971,1.61,7.675,3.936,3.338
1/5/2011,3.276,4.1,3.806,3.225,8.393,4.985,1.62,7.665,4.028,3.463
1/6/2011,3.226,4.01,3.834,3.217,8.44,5.152,1.683,7.654,4,3.399
1/7/2011,3.185,4,3.809,3.151,8.458,5.169,1.657,7.644,3.989,3.328
1/10/2011,3.177,4.08,3.821,3.164,8.48,5.215,1.655,7.633,3.992,3.287
1/11/2011,3.226,4.05,3.864,3.198,8.485,5.201,1.653,7.623,4.04,3.34
1/12/2011,3.26,4.1,3.921,3.313,8.474,5.184,1.669,7.622,4.112,3.367
1/13/2011,3.253,4.01,3.861,3.292,8.436,5.049,1.679,7.622,4.066,3.299
1/14/2011,3.275,4,3.847,3.288,8.462,5.012,1.699,7.622,4.069,3.331
1/17/2011,3.257,4.01,3.858,3.286,8.5,5.057,1.72,7.621,4.072,3.315
1/18/2011,3.275,4.01,3.905,3.332,8.521,5.094,1.728,7.695,4.094,3.37
1/19/2011,3.238,4.12,3.898,3.329,8.518,5.039,1.758,7.698,4.089,3.337
1/20/2011,3.306,4.03,3.931,3.588,8.51,5.081,1.69,7.698,4.152,3.451
1/21/2011,3.358,4.1,3.912,3.614,8.516,5.008,1.69,7.691,4.158,3.408
1/24/2011,3.316,4.1,3.885,3.572,8.53,4.997,1.717,7.635,4.132,3.406
1/25/2011,3.281,4.15,3.913,3.614,8.509,5.08,1.7,7.696,4.099,3.33
1/26/2011,3.312,4.1,3.964,3.65,8.507,5.143,1.683,7.696,4.158,3.421
1/27/2011,3.277,4.03,4.002,3.657,8.505,5.18,1.7,8.001,4.15,3.389
1/28/2011,3.246,4.12,3.949,3.64,8.51,5.153,1.688,8,4.114,3.329
1/31/2011,3.293,4.03,3.934,3.619,8.514,5.117,1.698,7.735,4.118,3.374
2/1/2011,3.344,4.16,4.01,3.698,8.52,5.049,1.713,7.999,4.162,3.435
2/2/2011,3.382,4.187,4.005,3.709,8.516,4.944,1.696,7.997,4.202,3.479
2/3/2011,3.424,4.213,4.016,3.683,8.515,5.005,1.695,7.679,4.21,3.547
2/4/2011,3.458,4.24,4.042,3.741,8.534,4.998,1.728,7.998,4.244,3.638
2/7/2011,3.434,4.267,4.038,3.724,8.543,5.077,1.746,7.998,4.254,3.64
2/8/2011,3.487,4.293,4.073,3.741,8.524,5.141,1.769,7.693,4.258,3.737
2/9/2011,3.452,4.32,4.117,3.8,8.518,5.168,1.787,7.997,4.282,3.652
2/10/2011,3.471,4.227,4.13,3.78,8.505,5.17,1.767,7.851,4.287,3.702
2/11/2011,3.478,4.25,4.099,3.761,8.532,5.175,1.785,7.731,4.268,3.638
2/14/2011,3.491,4.2,4.109,3.776,8.523,5.222,1.803,7.996,4.234,3.625
2/15/2011,3.481,4.03,4.109,3.777,8.521,5.205,1.786,7.628,4.242,3.604
2/16/2011,3.506,4.25,4.054,3.712,8.512,5.136,1.813,7.995,4.219,3.623
2/17/2011,3.487,4.22,4.015,3.66,8.504,5.143,1.801,7.791,4.181,3.576
2/18/2011,3.469,4.2,4.073,3.725,8.518,5.202,1.788,7.995,4.203,3.582
2/21/2011,3.416,4.05,4.004,3.658,8.496,5.199,1.783,7.649,4.121,3.576
2/22/2011,3.362,4.25,3.964,3.623,8.481,5.211,1.762,7.994,4.083,3.459
2/23/2011,3.329,4.12,3.941,3.61,8.504,5.236,1.728,7.994,4.076,3.483
2/24/2011,3.32,4.25,3.941,3.604,8.508,5.255,1.697,7.993,4.045,3.45
2/25/2011,3.293,4.15,3.947,3.582,8.512,5.276,1.704,7.993,4.045,3.416
2/28/2011,3.298,4.22,3.986,3.616,8.481,5.274,1.699,7.925,4.035,3.422
3/1/2011,3.291,4.12,3.984,3.637,8.467,5.251,1.732,7.992,4.045,3.403
3/2/2011,3.344,4.08,4.006,3.675,8.442,5.242,1.691,7.991,4.065,3.471
3/3/2011,3.398,4.06,4.093,3.773,8.416,5.301,1.718,7.991,4.146,3.559
3/4/2011,3.335,4.03,4.051,3.727,8.419,5.311,1.735,7.924,4.068,3.492
3/7/2011,3.354,4.08,4.049,3.744,8.425,5.345,1.737,7.934,4.073,3.516
